"parameter","Penh"
NA,2.83
NA,NA
"a3 50",NA
NA,5.67
NA,5.47
NA,5.45
NA,5.87
NA,5.71
NA,6.24
NA,5.96
NA,6.07
NA,6.89
NA,6.44
NA,6.61
NA,6.71
NA,6.29
NA,7.4
NA,5.27
NA,6.49
NA,6.86
NA,7.66
NA,7.49
NA,4.87
NA,5.2
NA,5.76
NA,7.19
NA,6.92
NA,7.05
NA,4.98
NA,7.43
NA,8.01
NA,4.11
NA,5.46
NA,7.38
NA,7.04
"a3 50",NA
NA,NA
NA,NA
"a4 50",NA
NA,7.13
NA,6.44
NA,9.4
NA,9.78
NA,9.41
NA,11.25
NA,11.68
NA,10.61
NA,11.96
NA,12.22
NA,9.85
NA,10.67
NA,10.17
NA,12.26
NA,10.43
NA,10.62
NA,12.75
NA,10.46
NA,9.73
NA,11.67
NA,11.75
NA,11.1
NA,12.03
NA,11.91
NA,11.28
NA,11.55
NA,11.87
NA,11.11
NA,8.32
NA,9.45
"a4 50",NA
NA,NA
NA,1.82
NA,NA
"d1 12.5",NA
NA,0.79
NA,0.95
NA,0.69
NA,0.8
NA,0.87
NA,0.88
NA,0.72
NA,0.55
NA,0.64
NA,0.92
NA,0.83
NA,0.76
NA,0.87
NA,0.77
NA,0.84
NA,0.7
NA,0.71
NA,0.56
NA,0.67
NA,0.71
NA,0.66
NA,0.44
NA,0.89
NA,0.77
NA,1.1
NA,1.01
NA,1.03
NA,0.53
NA,0.66
NA,0.79
"d1 12.5",NA
NA,NA
NA,0.55
NA,NA
"d2 12.5",NA
NA,0.56
NA,0.83
NA,1.02
NA,0.7
NA,0.67
NA,0.66
NA,0.54
NA,0.62
NA,0.78
NA,0.6
NA,0.84
NA,0.76
NA,0.94
NA,0.99
NA,0.71
NA,0.76
NA,0.57
NA,0.62
NA,0.73
NA,0.54
NA,0.68
NA,0.61
NA,0.79
NA,0.89
NA,0.41
NA,0.52
NA,0.35
NA,0.5
NA,0.62
NA,0.76
NA,0.7
"d2 12.5",NA
NA,NA
NA,1.45
NA,NA
"d3 12.5",NA
NA,3.35
NA,3.38
NA,2.79
NA,2.73
NA,3.59
NA,1.67
NA,1.9
NA,2.05
NA,1.86
NA,3.21
NA,3.23
NA,2.45
NA,2.62
NA,2.37
NA,2.93
NA,2.89
NA,2.61
NA,2.02
NA,2.93
NA,2.87
NA,2.75
NA,2.3
NA,2.15
NA,2.81
NA,2.9
NA,2.69
NA,2.13
NA,1.92
